date,open_prc,high_prc,low_prc,close_prc,base_prc,volume
2000-12-08,163000,169500,163000,168500,163000,951501
2000-12-11,174000,181500,174000,179000,168500,1411583
2000-12-12,179000,182500,175000,175000,179000,1474958
2000-12-13,175000,189000,175000,189000,175000,1682889
2000-12-14,181000,184000,178000,181000,189000,1339386
2000-12-15,181000,182000,174000,174500,181000,1059217
2000-12-18,175000,179500,174500,178000,174500,687058
2000-12-19,178000,178500,175500,176500,178000,508982
2000-12-20,171000,172500,166000,167000,176500,1073576
2000-12-21,156000,165000,153500,162000,167000,1532573
2000-12-22,162000,165000,156500,157000,162000,1275258
2000-12-26,161500,162000,158000,158000,157000,1208632
2001-01-02,158000,169000,157000,167500,158000,789127
2001-01-03,161500,171000,161000,168500,167500,757143
2001-01-04,189500,193500,183000,189000,168500,2398248
2001-01-05,188000,196000,185000,195000,189000,1562744
2001-01-08,191000,195500,189000,194000,195000,845911
2001-01-09,191500,193000,185500,192000,194000,925608
2001-01-10,189000,190500,185000,185500,192000,824777
2001-01-11,189500,189500,182000,182000,185500,628239
2001-01-12,190000,194500,188500,192000,182000,1058060
2001-01-15,193000,201000,192000,196000,192000,1029275
2001-01-16,198000,210000,192500,207000,196000,1041389
2001-01-17,203000,212000,203000,211000,207000,1051459
2001-01-18,212000,226500,212000,220000,211000,1153718
2001-01-19,235000,235000,226000,230000,220000,1084940
2001-01-22,230000,230000,223500,227500,230000,845034
2001-01-26,222500,224000,198500,199000,227500,1820526
2001-01-29,200000,205000,198000,201000,199000,944935
2001-01-30,205000,208500,203500,205500,201000,787000
2001-01-31,204500,220000,204500,220000,205500,1060930
2001-02-01,213500,221000,209500,213500,220000,794640
2001-02-02,214500,219500,211000,214500,213500,546604
2001-02-05,208500,210000,199500,201500,214500,942754
2001-02-06,199000,201000,195500,200500,201500,630966
2001-02-07,198000,199500,195000,195000,200500,462650
2001-02-08,196000,203000,194500,203000,195000,693756
2001-02-09,202000,205000,199000,203500,203000,504637
2001-02-12,192000,202500,192000,198500,203500,722293
2001-02-13,202000,205000,198500,199000,198500,445953
2001-02-14,196000,202000,195000,199000,199000,394201
2001-02-15,210000,210500,205000,206500,199000,698680
2001-02-16,207500,215500,206500,212500,206500,927555
2001-02-19,209000,210500,205000,209500,212500,457630
2001-02-20,209500,214000,209000,212000,209500,363573
2001-02-21,208000,210000,207000,208000,212000,390024
2001-02-22,204000,205000,197000,200500,208000,872169
2001-02-23,196000,198500,191500,192000,200500,1537164
2001-02-26,192500,193000,189000,192000,192000,713378
2001-02-27,192000,197000,189500,189500,192000,773982
2001-02-28,185000,189000,185000,187000,189500,574345
2001-03-02,185000,185000,179000,180500,187000,890062
2001-03-05,176500,186000,176500,186000,180500,492456
2001-03-06,191000,192500,188000,190000,186000,510082
2001-03-07,198000,200500,195000,200000,190000,1052875
2001-03-08,197500,200500,195500,200500,200000,627296
2001-03-09,197000,197000,191000,192000,200500,616095
2001-03-12,185000,188000,182500,183500,192000,772211
2001-03-13,178500,182500,177000,182000,183500,676313
2001-03-14,189500,195500,189000,195000,182000,785725
2001-03-15,189500,196500,188000,196000,195000,587410
2001-03-16,194000,196000,191500,194500,196000,466356
2001-03-19,190500,194000,188500,190000,194500,497387
2001-03-20,195000,196000,191000,191000,190000,429195
2001-03-21,186000,195000,185000,193500,191000,811004
2001-03-22,199000,199500,196000,199000,193500,749337
2001-03-23,204500,218500,204000,215000,199000,1835148
2001-03-26,220000,221500,217000,217000,215000,857488
2001-03-27,215000,215500,206000,207500,217000,626950
2001-03-28,213000,213000,207500,207500,207500,521567
2001-03-29,204500,209000,202000,204500,207500,598422
2001-03-30,205500,208500,202000,208000,204500,602077
2001-04-02,202000,205000,198000,199500,208000,782843
2001-04-03,190500,193500,189500,190000,199500,921494
2001-04-04,185000,187000,181500,183000,190000,1245631
2001-04-06,198000,198000,189000,192000,183000,1705837
2001-04-09,189500,190500,185500,185500,192000,516809
2001-04-10,185500,187000,180500,182000,185500,783590
2001-04-11,189000,190000,186000,186000,182000,890351
2001-04-12,197000,204500,195000,200500,186000,1473266
2001-04-13,205000,207500,201500,203000,200500,776811
2001-04-16,203000,204000,197000,197000,203000,204097
2001-04-17,196000,201000,192500,198500,197000,336359
2001-04-18,205500,214000,203500,214000,198500,955879
2001-04-19,231000,246000,229000,235000,214000,2626128
2001-04-20,236000,239000,224500,224500,235000,898176
2001-04-23,224500,230500,223500,227000,224500,635721
2001-04-24,220500,221000,216500,220000,227000,623792
2001-04-25,217000,226000,216000,226000,220000,526949
2001-04-26,230000,230000,222500,223500,226000,784235
2001-04-27,220500,222500,215500,217000,223500,433980
2001-04-30,223000,231000,220500,229000,217000,764571
2001-05-02,235000,235000,227000,229000,229000,730267
2001-05-03,231000,231000,224500,230000,229000,517991
2001-05-04,220500,225500,220500,223000,230000,656127
2001-05-07,225000,231500,224000,230000,223000,358957
2001-05-08,229500,231000,226000,229500,230000,336524
2001-05-09,228000,229000,224500,225000,229500,413921
2001-05-10,225000,228000,222000,225000,225000,492487
2001-05-11,223000,223500,220000,220500,225000,554183
2001-05-14,221000,223000,220000,221500,220500,286202
2001-05-15,220500,222500,214500,217000,221500,528436
2001-05-16,215000,218500,210000,210500,217000,517916
2001-05-17,220000,221500,217000,221500,210500,482133
2001-05-18,219000,221000,217000,220500,221500,378388
2001-05-21,225000,231000,221500,229000,220500,563256
2001-05-22,236000,239000,231000,231000,229000,976665
2001-05-23,230000,238000,229000,235000,231000,437809
2001-05-24,228000,230000,225500,226500,235000,605529
2001-05-25,227500,232500,221500,222000,226500,673974
2001-05-28,221000,224000,219000,222500,222000,369666
2001-05-29,221500,232000,221500,232000,222500,485640
2001-05-30,225000,226500,222500,223500,232000,636313
2001-05-31,216000,217000,209500,212000,223500,1271938
2001-06-01,215000,215000,210500,212000,212000,586304
2001-06-04,213000,215500,211500,212000,212000,399194
2001-06-05,207000,212000,202000,203000,212000,1030410
2001-06-07,204000,215500,204000,214000,203000,799372
2001-06-08,221000,225500,220000,223500,214000,854889
2001-06-11,216500,219000,214000,214000,223500,493626
2001-06-12,211000,215000,210500,211000,214000,483939
2001-06-13,215000,215500,210000,214000,211000,472921
2001-06-14,213500,215500,210000,211500,214000,556866
2001-06-15,209500,210000,206000,209500,211500,817467
2001-06-18,209000,209000,204000,205000,209500,681948
2001-06-19,205000,208500,204000,205500,205000,625581
2001-06-20,203000,203500,199500,200000,205500,770358
